pruid,prname,date,reporting_year,numtotal_last7,ratecases_total,numdeaths,numdeaths_last7,ratedeaths,ratecases_last7,ratedeaths_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7,totalcases,Population,Land_Area_Square_Kilometres,numtotal_atleast1dose,numtotal_partially,numtotal_fully
99,Repatriated travellers,2022-12-10,2022,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0
1,Canada,2022-12-10,2022,16983,11451.18,48782,293,125.31,43.63,0.75,6.23,41.86,0.11,4457933,38516138.0,8788702.8,32408780.0,2670476.0,24345527.0
59,British Columbia,2022-12-17,2022,612,7367.43,4806,46,90.35,11.51,0.86,1.64,6.57,0.12,391897,5251578.0,920686.55,4587433.0,185989.0,4401444.0
48,Alberta,2022-12-17,2022,965,13695.68,5389,29,118.62,21.24,0.64,3.03,4.14,0.09,622210,4482385.0,634658.27,3609940.0,174801.0,3435139.0
47,Saskatchewan,2022-12-17,2022,376,12633.21,1800,21,150.65,31.47,1.76,4.5,3.0,0.25,150942,1185311.0,577060.4,971939.0,54934.0,917005.0
46,Manitoba,2022-12-17,2022,158,10893.02,2331,26,165.41,11.21,1.84,1.6,3.71,0.26,153507,1398303.0,540310.19,1159150.0,46869.0,1112281.0
35,Ontario,2022-12-17,2022,6009,10165.95,15470,63,102.39,39.77,0.42,5.68,9.0,0.06,1536016,14940912.0,892411.76,12684588.0,465448.0,12219140.0
24,Quebec,2022-12-17,2022,7746,14629.41,17512,65,201.39,89.08,0.75,12.73,9.29,0.11,1272124,8637650.0,1298599.75,7017520.0,1624743.0,0.0
10,Newfoundland and Labrador,2022-12-17,2022,129,10250.36,288,6,54.67,24.53,1.14,3.5,0.86,0.16,53914,522501.0,358170.37,504081.0,21135.0,482946.0
13,New Brunswick,2022-12-17,2022,647,10453.77,722,94,88.91,79.67,11.58,11.38,13.43,1.65,84891,799245.0,71248.5,705056.0,39108.0,665948.0
12,Nova Scotia,2022-12-17,2022,564,13188.18,674,2,66.14,55.34,0.22,7.91,0.33,0.03,134483,1002441.0,52824.71,911315.0,45589.0,865726.0
11,Prince Edward Island,2022-12-17,2022,208,32409.43,82,1,48.04,121.86,0.59,17.41,0.14,0.08,55319,166858.0,5681.18,152694.0,6656.0,146038.0
60,Yukon,2022-12-17,2022,0,11393.27,32,0,73.08,0.0,0.0,0.0,0.0,0.0,4989,43241.0,472345.44,37075.0,1347.0,35728.0
61,Northwest Territories,2022-12-17,2022,0,25240.65,22,0,48.24,0.0,0.0,0.0,0.0,0.0,11511,45710.0,1127711.92,35196.0,1462.0,33734.0
62,Nunavut,2022-12-17,2022,0,8712.93,7,0,17.27,0.0,0.0,0.0,0.0,0.0,3531,40003.0,1836993.78,32793.0,2395.0,30398.0
99,Repatriated travellers,2022-12-17,2022,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0
1,Canada,2022-12-17,2022,17414,11495.91,49135,353,126.21,44.73,0.91,6.39,50.47,0.13,4475347,38516138.0,8788702.8,32408780.0,2670476.0,24345527.0
59,British Columbia,2022-12-24,2022,556,7377.88,4883,77,91.8,10.45,1.45,1.49,11.0,0.21,392453,5251578.0,920686.55,4587433.0,185989.0,4401444.0
48,Alberta,2022-12-24,2022,823,13713.8,5415,26,119.19,18.12,0.57,2.59,3.71,0.08,623033,4482385.0,634658.27,3609940.0,174801.0,3435139.0
47,Saskatchewan,2022-12-24,2022,326,12660.5,1807,7,151.24,27.28,0.59,3.9,1.0,0.08,151268,1185311.0,577060.4,971939.0,54934.0,917005.0
46,Manitoba,2022-12-24,2022,143,10903.17,2369,38,168.11,10.15,2.7,1.45,5.43,0.39,153650,1398303.0,540310.19,1159150.0,46869.0,1112281.0
35,Ontario,2022-12-24,2022,7284,10214.16,15537,67,102.83,48.21,0.44,6.89,9.57,0.06,1543300,14940912.0,892411.76,12684588.0,465448.0,12219140.0
24,Quebec,2022-12-24,2022,7103,14711.1,17575,63,202.11,81.68,0.72,11.67,9.0,0.1,1279227,8637650.0,1298599.75,7017520.0,1624743.0,0.0
10,Newfoundland and Labrador,2022-12-24,2022,96,10268.61,288,0,54.67,18.25,0.0,2.61,0.0,0.0,54010,522501.0,358170.37,504081.0,21135.0,482946.0
13,New Brunswick,2022-12-24,2022,0,10453.77,722,0,88.91,0.0,0.0,0.0,0.0,0.0,84891,799245.0,71248.5,705056.0,39108.0,665948.0
12,Nova Scotia,2022-12-24,2022,658,13252.66,682,0,66.86,64.49,0.0,9.21,0.0,0.0,135141,1002441.0,52824.71,911315.0,45589.0,865726.0
11,Prince Edward Island,2022-12-24,2022,198,32525.43,82,0,48.04,116.0,0.0,16.57,0.0,0.0,55517,166858.0,5681.18,152694.0,6656.0,146038.0
60,Yukon,2022-12-24,2022,0,11393.27,32,0,73.08,0.0,0.0,0.0,0.0,0.0,4989,43241.0,472345.44,37075.0,1347.0,35728.0
61,Northwest Territories,2022-12-24,2022,0,25240.65,22,0,48.24,0.0,0.0,0.0,0.0,0.0,11511,45710.0,1127711.92,35196.0,1462.0,33734.0
62,Nunavut,2022-12-24,2022,0,8712.93,7,0,17.27,0.0,0.0,0.0,0.0,0.0,3531,40003.0,1836993.78,32793.0,2395.0,30398.0
99,Repatriated travellers,2022-12-24,2022,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0
1,Canada,2022-12-24,2022,17187,11540.06,49420,278,126.95,44.15,0.71,6.31,39.71,0.1,4492534,38516138.0,8788702.8,32408780.0,2670476.0,24345527.0
59,British Columbia,2022-12-31,2022,692,7390.89,4896,13,92.04,13.01,0.24,1.86,1.86,0.03,393145,5251578.0,920686.55,4600969.0,192050.0,4408919.0
48,Alberta,2022-12-31,2022,870,13732.95,5439,24,119.72,19.15,0.53,2.74,3.43,0.08,623903,4482385.0,634658.27,3613332.0,174531.0,3438801.0
47,Saskatchewan,2022-12-31,2022,302,12685.77,1810,3,151.49,25.28,0.25,3.61,0.43,0.04,151570,1185311.0,577060.4,973608.0,55119.0,918489.0
46,Manitoba,2022-12-31,2022,134,10912.68,2369,0,168.11,9.51,0.0,1.36,0.0,0.0,153784,1398303.0,540310.19,1159727.0,47207.0,1112520.0
35,Ontario,2022-12-31,2022,5824,10252.71,15606,69,103.29,38.55,0.46,5.51,9.86,0.07,1549124,14940912.0,892411.76,12690840.0,465787.0,12225053.0
